name,aliases
Danny Trejo,trejo
Eric Roberts,roberts
John Carradine,carradine
Donald Sutherland,sutherland
Christopher Lee,lee
Donald Pleasence,pleasence
Vincent Price,price
Samuel L. Jackson,samuel jackson|sam jackson|slj
Robert Loggia,loggia
Steve Buscemi,buscemi
Bruce Willis,willis
Harvey Keitel,keitel
Gary Busey,busey
Willem Dafoe,dafoe
Michael Caine,caine
Robert De Niro,de niro|deniro
Nicolas Cage,cage
Robert Duvall,duvall
Anthony Hopkins,hopkins
Morgan Freeman,freeman
Gene Hackman,hackman
Liam Neeson,neeson
Kurt Russell,russell
John Malkovich,malkovich
Jeff Goldblum,goldblum
Val Kilmer,kilmer
Mickey Rourke,rourke
Sylvester Stallone,stallone|sly stallone
Arnold Schwarzenegger,schwarzenegger|arnie
Al Pacino,pacino
Robert Downey Jr.,robert downey jr|rdj
Dustin Hoffman,hoffman
Jack Nicholson,nicholson
Tom Hanks,hanks
Johnny Depp,depp
Jeff Bridges,bridges
Clint Eastwood,eastwood
Mel Gibson,gibson
Harrison Ford,ford
Brad Pitt,pitt
Keanu Reeves,reeves
Matt Damon,damon
Robin Williams,williams
Denzel Washington,washington
Tom Cruise,cruise
Will Smith,smith
Jamie Foxx,foxx
Eddie Murphy,murphy
Steve Martin,martin
Jim Carrey,carrey
Meryl Streep,streep
Judi Dench,dench
Helen Mirren,mirren
Cate Blanchett,blanchett
Glenn Close,close
Sigourney Weaver,weaver
Jodie Foster,foster
Susan Sarandon,sarandon
Natalie Portman,portman
