name,value,aliases
Russia,17098242,russian federation
Canada,9984670,
United States,9833517,usa|us|america
China,9596960,prc
Brazil,8515767,
Australia,7692024,
India,3287263,bharat
Argentina,2780400,
Kazakhstan,2724900,
Algeria,2381741,
DR Congo,2344858,drc|congo|democratic republic of congo
Greenland,2166086,kalaallit nunaat
Saudi Arabia,2149690,
Mexico,1964375,
Indonesia,1904569,
Sudan,1861484,
Libya,1759540,
Iran,1648195,persia
Mongolia,1564110,
Peru,1285216,
Chad,1284000,
Niger,1267000,
Angola,1246700,
Mali,1240192,
South Africa,1219090,
Colombia,1141748,
Ethiopia,1104300,
Bolivia,1098581,
Mauritania,1030700,
Egypt,1002450,arab republic of egypt
Tanzania,945087,
Nigeria,923768,
Venezuela,912050,
Namibia,824292,
Mozambique,801590,
Pakistan,881913,
Turkey,783562,turkiye
Chile,756102,
Zambia,752618,
Myanmar,676578,burma
Afghanistan,652230,
Somalia,637657,
Central African Republic,622984,
South Sudan,619745,
Ukraine,603550,
Madagascar,587041,
Botswana,581730,
Kenya,580367,
France,551695,
Yemen,527968,
Thailand,513120,
Spain,505990,
Turkmenistan,488100,
Cameroon,475442,
Papua New Guinea,462840,
Sweden,450295,
Uzbekistan,448978,
Morocco,446550,
Iraq,438317,
Paraguay,406752,
Zimbabwe,390757,
Norway,385207,
Japan,377975,
Germany,357114,
Republic of Congo,342000,republic of the congo|congo republic
Finland,338145,
Vietnam,331212,viet nam
Malaysia,329847,
Poland,312696,
Oman,309500,
Italy,301340,
Philippines,300000,
Ecuador,283561,
Burkina Faso,274222,
New Zealand,270467,
Gabon,267668,
Guinea,245857,
United Kingdom,243610,uk|britain|great britain
Ghana,238533,
Romania,238397,
Laos,236800,lao|lao pdr
Uganda,241038,
Guyana,214969,
Senegal,196722,
Syria,185180,
Cambodia,181035,
Uruguay,176215,
Tunisia,163610,
Suriname,163820,
Nepal,147181,
Bangladesh,147570,
Tajikistan,143100,
Greece,131957,
Nicaragua,130373,
Honduras,112492,
Cuba,109884,
Bulgaria,110879,
Guatemala,108889,
Iceland,103000,
South Korea,100210,korea|republic of korea
Hungary,93028,
