name,value,aliases
Bangladesh,1265,
South Korea,527,korea|republic of korea
Lebanon,595,
Rwanda,525,
Netherlands,508,holland
Haiti,404,
India,464,bharat
Belgium,376,
Japan,334,
Sri Lanka,341,ceylon
Philippines,363,
Burundi,463,
Vietnam,308,viet nam
Pakistan,287,
El Salvador,307,
Trinidad and Tobago,269,trinidad|tobago
Guatemala,165,
Uganda,230,
United Kingdom,275,uk|britain
Germany,232,
Togo,145,
Italy,200,
Thailand,135,
Malawi,197,
Switzerland,214,
North Korea,212,dprk|democratic peoples republic of korea
Poland,122,
China,145,prc
Czech Republic,137,czechia
Moldova,102,
Indonesia,151,
Portugal,110,
Cuba,102,
France,119,
Sierra Leone,118,
Nigeria,226,
Ethiopia,120,
Austria,107,
Ghana,130,
Romania,82,
Nepal,216,
Jamaica,269,
Denmark,137,
Dominican Republic,222,
Comoros,525,
Hungary,107,
Israel,418,
Armenia,103,
Slovakia,112,
Cameroon,55,
Albania,98,
Senegal,84,
Turkey,107,turkiye
Slovenia,102,
Myanmar,82,burma
Morocco,85,
Iraq,88,
Ecuador,71,
Egypt,103,arab republic of egypt
Tunisia,76,
Azerbaijan,120,
Kenya,89,
Madagascar,45,
Syria,100,
Laos,34,lao
South Africa,49,
Honduras,92,
Colombia,46,
Spain,93,
Argentina,17,
Tanzania,65,
Zambia,25,
Sudan,25,
Bolivia,11,
Venezuela,35,
Republic of Congo,16,republic of the congo
Mexico,65,
Chile,26,
Sweden,25,
Norway,15,
Finland,18,
Mozambique,38,
Mongolia,2,
Australia,3,
Russia,9,russian federation
Kazakhstan,7,
Canada,4,
Libya,3,
Greenland,0.1,kalaallit nunaat
Namibia,3,
Mauritania,4,
Iceland,3,
Suriname,4,
Guyana,4,
