name,value,aliases
United States,28781000,usa|us|america
China,18532633,prc
Germany,4591100,
Japan,4110452,
India,3937011,bharat
United Kingdom,3158938,uk|great britain|britain
France,3130000,
Brazil,2331390,
Italy,2254851,
Canada,2242773,
Russia,2021022,russian federation
South Korea,1760156,korea|republic of korea
Australia,1747247,
Mexico,1789082,
Spain,1580693,
Indonesia,1475616,
Netherlands,1118138,holland
Saudi Arabia,1101570,
Turkey,1344750,turkiye
Switzerland,905684,
Taiwan,790728,chinese taipei|republic of china
Poland,842172,
Argentina,621833,
Sweden,597110,
Belgium,627511,
Thailand,514980,
Norway,546768,
Israel,521688,
UAE,509179,united arab emirates
Nigeria,362811,
Austria,526174,
South Africa,380906,
Philippines,404266,
Denmark,400836,
Malaysia,430670,
Singapore,501428,
Egypt,358153,arab republic of egypt
Vietnam,429717,viet nam
Chile,335535,
Bangladesh,460201,
Pakistan,338234,
Colombia,363827,
Finland,305481,
Czech Republic,339929,czechia
Romania,351003,
New Zealand,253465,
Algeria,239921,
Hungary,213992,
Kazakhstan,261421,
Portugal,287080,
Greece,218082,
Ethiopia,205025,
Kuwait,161775,
Qatar,221418,
Iraq,269835,
Ghana,72353,
Angola,84167,
Tanzania,79158,
Ivory Coast,70027,cote d'ivoire
Kenya,107440,
Sudan,27073,
Morocco,141106,
Dominican Republic,113560,
Panama,82637,
Guatemala,95003,
Luxembourg,89683,
Oman,85452,
Bulgaria,101577,
Myanmar,65908,burma
Costa Rica,67293,
Uruguay,77620,
Croatia,82627,
Sri Lanka,74396,ceylon
Serbia,75184,
Peru,268074,
Uzbekistan,80393,
Ecuador,118845,
Azerbaijan,72356,
Slovenia,69512,
Libya,52574,
Lithuania,77836,
Tunisia,48508,
Slovakia,132782,
Bolivia,44309,
Belarus,73250,
Jordan,50060,
Cameroon,47276,
Honduras,35534,
Paraguay,42956,
Trinidad and Tobago,26977,trinidad
El Salvador,34016,
Bahrain,44173,
Senegal,31214,
Zambia,28041,
