name,value,aliases
Monaco,87.0,
Japan,84.3,
Singapore,83.9,
San Marino,83.7,
Iceland,83.1,
Andorra,83.0,
Liechtenstein,82.9,
Switzerland,83.4,
South Korea,83.3,korea|republic of korea
Australia,83.2,
Spain,83.2,
Norway,83.2,
Israel,82.6,
Sweden,82.8,
Luxembourg,82.3,
Italy,83.4,
France,82.5,
Malta,82.5,
Canada,82.3,
New Zealand,82.1,
Ireland,82.8,
Netherlands,82.3,holland
United Kingdom,81.3,uk|britain|england
Cyprus,80.8,
Austria,81.6,
Greece,80.9,
Finland,82.0,
Belgium,81.9,
Germany,81.1,
Denmark,81.4,
Portugal,81.9,
Chile,80.2,
Slovenia,81.5,
Taiwan,80.9,chinese taipei
Costa Rica,80.3,
Oman,78.3,
Czech Republic,79.1,czechia
Qatar,80.1,
Bahrain,79.4,
UAE,78.0,united arab emirates
South Africa,64.9,
Cuba,78.5,
Malaysia,76.5,
Brunei,75.9,
Maldives,80.0,
Ecuador,77.5,
Turkey,77.7,turkiye
China,77.4,prc
Albania,77.9,
Vietnam,73.7,viet nam
Jordan,74.8,
Panama,76.7,
Thailand,77.4,
Morocco,74.3,
Sri Lanka,77.0,ceylon
Mexico,73.2,
Argentina,76.7,
Bosnia and Herzegovina,77.3,bosnia
Nicaragua,74.8,
Saudi Arabia,75.4,
Brazil,75.7,
Colombia,77.1,
Indonesia,72.0,
Philippines,70.2,
El Salvador,73.6,
Honduras,70.6,
Peru,76.5,
Paraguay,74.2,
Egypt,71.8,arab republic of egypt
Dominican Republic,74.3,
Haiti,64.0,
Iraq,70.6,
Tunisia,77.0,
Mongolia,70.0,
Bolivia,71.5,
Cambodia,70.0,
Pakistan,67.1,
Papua New Guinea,64.5,
Uganda,63.7,
India,67.2,bharat
Ghana,64.1,
Bangladesh,73.6,
Laos,68.7,lao
Cameroon,59.8,
Myanmar,67.1,burma
Senegal,68.5,
Tanzania,67.2,
DR Congo,60.7,drc|congo|democratic republic of congo
Nigeria,53.4,
South Sudan,57.7,
Mozambique,60.6,
Mali,59.5,
Sierra Leone,54.7,
Burkina Faso,61.6,
Somalia,57.5,
Chad,54.4,
Guinea,59.6,
Angola,61.6,
Lesotho,55.0,
Central African Republic,53.1,
