name,value,aliases
India,1441719852,bharat
China,1412175000,prc|peoples republic of china|people's republic of china
United States,335893238,usa|us|america|united states of america
Indonesia,277534122,
Pakistan,235825000,
Brazil,215313498,
Nigeria,223804632,
Bangladesh,170916488,
Russia,144444359,russian federation
Ethiopia,126527060,
Mexico,128455567,
Japan,124516650,
Philippines,117337368,
Egypt,105914499,arab republic of egypt
DR Congo,99010212,democratic republic of congo|drc|congo|zaire|democratic republic of the congo
Vietnam,97338579,viet nam
Iran,87590873,persia
Turkey,85279553,turkiye
Germany,84607016,
Thailand,71697030,
United Kingdom,67026292,uk|great britain|england|britain
France,68170228,
Tanzania,65497748,
South Africa,60414495,
Myanmar,54409800,burma
Kenya,54027487,
Colombia,51874024,
South Korea,51744876,korea|republic of korea
Uganda,48582334,
Spain,47910526,
Argentina,46654581,
Algeria,45606480,
Iraq,42250000,
Sudan,46874204,
Ukraine,43531422,
Canada,38781291,
Poland,37840001,
Morocco,37457971,
Ghana,33475870,
Mozambique,32790338,
Saudi Arabia,36947025,
Angola,35027343,
Malaysia,33573874,
Cameroon,27914536,
Ivory Coast,27478249,cote d'ivoire|cote divoire|ivory coast
Nepal,30034989,
Peru,33304756,
Venezuela,28301696,
Niger,25252722,
Australia,26473055,
Sri Lanka,22156000,ceylon
Burkina Faso,22673762,
Mali,22395489,
Romania,19053815,
Kazakhstan,19398618,
Syria,21324000,
Malawi,20931751,
Zambia,19473125,
Chile,19629590,
Ecuador,18001000,
Netherlands,17890000,holland
Guatemala,17357886,
Cambodia,16718965,
Zimbabwe,16320537,
Senegal,17763163,
Chad,17413580,
Somalia,18143378,
Rwanda,13948745,
Guinea,13532000,
Bolivia,12079472,
Haiti,11470261,
Tunisia,11957223,
Belgium,11686140,
South Sudan,11193725,
Benin,13711597,
Burundi,12889576,
Cuba,11089511,
Honduras,10278345,
El Salvador,6364943,
Tajikistan,10143543,
Papua New Guinea,10329931,
Paraguay,7353038,
Laos,7481023,lao|lao pdr
Togo,8848699,
Sierra Leone,8297882,
Libya,7054000,
Nicaragua,6948392,
Kyrgyzstan,7100000,
Eritrea,3748901,
Jordan,10824000,
Turkmenistan,6342000,
UAE,9516000,united arab emirates
Hungary,9597085,
Serbia,6871547,
Belarus,9408400,
Czech Republic,10906681,czechia
Israel,9754000,
Sweden,10551707,
Switzerland,8815385,
Austria,9132383,
Hong Kong,7333200,
