name,value,aliases
Novak Djokovic,24,djokovic|nole
Rafael Nadal,22,nadal|rafa
Roger Federer,20,federer
Pete Sampras,14,sampras
Carlos Alcaraz,4,alcaraz
Bjorn Borg,11,borg|björn borg
Rod Laver,11,laver
Andre Agassi,8,agassi
Jimmy Connors,8,connors
Ivan Lendl,8,lendl
John McEnroe,7,mcenroe
Stefan Edberg,6,edberg
Boris Becker,6,becker
Jim Courier,4,courier
Mats Wilander,7,wilander
Ken Rosewall,8,rosewall
John Newcombe,7,newcombe
Stan Wawrinka,3,wawrinka
Lleyton Hewitt,2,hewitt
Gustavo Kuerten,3,kuerten|guga
Marat Safin,2,safin
Juan Carlos Ferrero,1,ferrero
Thomas Muster,1,muster
Andy Murray,3,murray
Ilie Nastase,2,nastase
Manuel Santana,1,santana
Jan Kodes,3,kodes
Adriano Panatta,1,panatta
Yannick Noah,1,noah
Michael Chang,1,chang
