name,value,aliases
New York City,8258035,new york|nyc|new york city ny
Los Angeles,3820914,la
Chicago,2664452,
Houston,2314157,
Phoenix,1608139,
Philadelphia,1550542,philly
San Antonio,1434625,
San Diego,1386932,
Dallas,1304379,
Jacksonville,949979,
Austin,978908,
Fort Worth,935508,
Columbus,913175,
Charlotte,897720,
Indianapolis,872680,indy
San Francisco,808437,sf
Seattle,749256,
Denver,749121,
Nashville,689447,
Oklahoma City,687725,okc
El Paso,678815,
Washington DC,678972,dc|washington|district of columbia
Las Vegas,660929,
Louisville,633045,
Memphis,618639,
Portland,617223,
Baltimore,585708,
Milwaukee,577222,
Albuquerque,564559,
Tucson,530706,
Fresno,542107,
Sacramento,524943,
Mesa,512814,
Omaha,493825,
Atlanta,498715,
Colorado Springs,478961,
Virginia Beach,459470,
Raleigh,476179,
Minneapolis,429606,
Tampa,403364,
New Orleans,383997,
Arlington,378377,
Wichita,389938,
Bakersfield,384145,
Aurora,386261,
Cleveland,362656,
Anaheim,346824,
Santa Ana,310227,
Corpus Christi,317863,
Riverside,314998,
Lexington,322570,
Saint Louis,286578,st. louis|st louis
Pittsburgh,303625,
Stockton,320804,
Anchorage,291247,
Cincinnati,309317,
Saint Paul,307695,st. paul|st paul
Greensboro,301041,
Toledo,265904,
Newark,311549,
Plano,285494,
Henderson,302539,
Orlando,307573,
Lincoln,295222,
Jersey City,292449,
Chandler,280078,
Saint Petersburg,258308,st. petersburg|st pete
Laredo,256176,
Norfolk,238005,
Madison,269840,
Durham,283506,
Lubbock,264487,
Winston-Salem,249545,winston salem
Garland,239928,
Glendale,246273,
Hialeah,220406,
Reno,265655,
Baton Rouge,218590,
Irvine,307670,
Chesapeake,249422,
Scottsdale,258069,
North Las Vegas,262527,
Irving,239798,
Fremont,228758,
Gilbert,254114,
San Bernardino,215784,
Birmingham,212237,
Boise,244507,
Rochester,206284,
Richmond,226622,
Spokane,222081,
Des Moines,212031,
Montgomery,199518,
Modesto,218464,
Fayetteville,204408,
Tacoma,223414,
Shreveport,187593,
Akron,187478,
Yonkers,211569,
